Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Lİnk
𝒟𝓎𝓃𝒶𝓈𝓉𝓎,@dynastyycolee,Update: We just graduated nursing school together.  I’m so thankful to be doing life with my bestfriend.,21h,41K,6.6K,546,https://x.com/dynastyycolee,https://x.com/dynastyycolee
Abhishek 𝐁𝐚𝐜𝐡𝐜𝐡𝐚𝐧,@juniorbachchan,"Represent!!
#JaiHind #ComeonIndia

@omegawatches #Paris2024 #OmegaOfficialTimekeeper",23h,12K,315,206,https://x.com/juniorbachchan,https://x.com/juniorbachchan
YabaLeftOnline,@yabaleftonline,Who is going to remind Cucurella that he’s a Chelsea player,20h,10K,2.3K,513,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,Asake needs to understand that his fans are not only Yoruba — X user.,6h,6.7K,472,723,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,Rate Asake’s new album from 1 - 10,10h,6.4K,417,893,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,Rate Asake’s new album from 1 - 10,10h,6.4K,417,893,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,Who is going to remind Cucurella that he’s a Chelsea player,20h,10K,2.3K,513,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,Asake needs to understand that his fans are not only Yoruba — X user.,6h,6.7K,472,723,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,Rate Asake’s new album from 1 - 10,10h,6.4K,418,894,https://x.com/yabaleftonline,https://x.com/yabaleftonline
Timini Egbuson,@_Timini,Seen #Laststraw yet? What’s your fav scene?,19h,4.8K,502,218,https://x.com/_Timini,https://x.com/_Timini
YabaLeftOnline,@yabaleftonline,"Please, what is this?",7h,4.2K,315,661,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,"“It’s no secret that Wizkid is one of music inspirations. As a young striving artiste in Lagos, I’ve been waiting for that right song so when the opportunity came it was a no brainer.” — Asake",10h,4.1K,488,80,https://x.com/yabaleftonline,https://x.com/yabaleftonline
SportsDokita (Odogwu ),@Sports_Doctor2,"Omoh, just take a look at Sabinus’s closet",21h,3.6K,292,18,https://x.com/Sports_Doctor2,https://x.com/Sports_Doctor2
YabaLeftOnline,@yabaleftonline,Travis Scott arrested in Paris at his hotel this morning after a fïght with a security guard.,5h,3.6K,199,104,https://x.com/yabaleftonline,https://x.com/yabaleftonline
RVCJ Movies,@rvcjmovies,"Happy Birthday Mahesh Babu

#maheshbabu @urstrulyMahesh",11h,2.9K,598,4,https://x.com/rvcjmovies,https://x.com/rvcjmovies
SportsDokita (Odogwu ),@Sports_Doctor2,"Omoh, just take a look at Sabinus’s closet",21h,3.6K,292,18,https://x.com/Sports_Doctor2,https://x.com/Sports_Doctor2
YabaLeftOnline,@yabaleftonline,Travis Scott arrested in Paris at his hotel this morning after a fïght with a security guard.,5h,3.6K,199,104,https://x.com/yabaleftonline,https://x.com/yabaleftonline
RVCJ Movies,@rvcjmovies,"Happy Birthday Mahesh Babu

#maheshbabu @urstrulyMahesh",11h,2.9K,598,4,https://x.com/rvcjmovies,https://x.com/rvcjmovies
SportsDokita (Odogwu ),@Sports_Doctor2,"Omoh, just take a look at Sabinus’s closet",21h,3.6K,292,18,https://x.com/Sports_Doctor2,https://x.com/Sports_Doctor2
YabaLeftOnline,@yabaleftonline,Travis Scott arrested in Paris at his hotel this morning after a fïght with a security guard.,5h,3.6K,199,104,https://x.com/yabaleftonline,https://x.com/yabaleftonline
RVCJ Movies,@rvcjmovies,"Happy Birthday Mahesh Babu

#maheshbabu @urstrulyMahesh",11h,2.9K,598,4,https://x.com/rvcjmovies,https://x.com/rvcjmovies
SportsDokita (Odogwu ),@Sports_Doctor2,"Omoh, just take a look at Sabinus’s closet",21h,3.6K,292,18,https://x.com/Sports_Doctor2,https://x.com/Sports_Doctor2
YabaLeftOnline,@yabaleftonline,Travis Scott arrested in Paris at his hotel this morning after a fïght with a security guard.,5h,3.6K,199,104,https://x.com/yabaleftonline,https://x.com/yabaleftonline
RVCJ Movies,@rvcjmovies,"Happy Birthday Mahesh Babu

#maheshbabu @urstrulyMahesh",11h,2.9K,599,4,https://x.com/rvcjmovies,https://x.com/rvcjmovies
SportsDokita (Odogwu ),@Sports_Doctor2,"Omoh, just take a look at Sabinus’s closet",21h,3.6K,292,18,https://x.com/Sports_Doctor2,https://x.com/Sports_Doctor2
YabaLeftOnline,@yabaleftonline,Travis Scott arrested in Paris at his hotel this morning after a fïght with a security guard.,5h,3.7K,199,104,https://x.com/yabaleftonline,https://x.com/yabaleftonline
RVCJ Movies,@rvcjmovies,"Happy Birthday Mahesh Babu

#maheshbabu @urstrulyMahesh",11h,2.9K,599,4,https://x.com/rvcjmovies,https://x.com/rvcjmovies
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.7K,261,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,928,317,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.7K,261,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,928,317,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.7K,264,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,929,317,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.7K,265,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,931,318,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.7K,265,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,932,318,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.7K,266,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,936,318,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.8K,266,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,938,318,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.8K,266,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,938,318,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,“Thank you Wizkid” — Asake via Instagram.,2h,2.8K,266,87,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,This lady turned her tomboy friend into a girly girl,7h,2.5K,250,201,https://x.com/yabaleftonline,https://x.com/yabaleftonline
BollyHungama,@Bollyhungama,"BOLLYWOOD HUNGAMA SERVES LEGAL NOTICE TO SAMOSA CRITICS - SUMIT KADEL & ROHIT JAISWAL

Bollywood Hungama has issued a legal notice to @SumitkadeI and @rohitjswl01 in response to their malicious & malevolent tweets, seeking damages amounting to Rs. 15 crores.

Additionally, we",4h,2.2K,938,318,https://x.com/Bollyhungama,https://x.com/Bollyhungama
YabaLeftOnline,@yabaleftonline,"“Skating is a lifestyle, Skating is a part of me” — Asake, 2024.",9h,5.3K,301,100,https://x.com/yabaleftonline,https://x.com/yabaleftonline
YabaLeftOnline,@yabaleftonline,What a picture!,20h,2.6K,137,72,https://x.com/yabaleftonline,https://x.com/yabaleftonline
Historic Vids,@historyinmemes,When Ed Sheeran & Benny Blanco randomly wrote 'Love Yourself' for Justin Bieber on a tour bus,6h,2.3K,209,97,https://x.com/historyinmemes,https://x.com/historyinmemes
Historic Vids,@historyinmemes,"""AI, what if Star Wars was made in 1930 with a billion dollar budget""",2h,2.4K,190,108,https://x.com/historyinmemes,https://x.com/historyinmemes
Instablog9ja,@instablog9ja,Tonto Dikeh r+sks J@il term following her arrest for th€ft and cyberb¥llying,6h,2.2K,337,148,https://x.com/instablog9ja,https://x.com/instablog9ja
Instablog9ja,@instablog9ja,Tonto Dikeh r+sks J@il term following her arrest for th€ft and cyberb¥llying,6h,2.2K,337,148,https://x.com/instablog9ja,https://x.com/instablog9ja
YabaLeftOnline,@yabaleftonline,What a picture!,20h,2.6K,137,72,https://x.com/yabaleftonline,https://x.com/yabaleftonline
Historic Vids,@historyinmemes,When Ed Sheeran & Benny Blanco randomly wrote 'Love Yourself' for Justin Bieber on a tour bus,6h,2.3K,209,97,https://x.com/historyinmemes,https://x.com/historyinmemes
Historic Vids,@historyinmemes,"""AI, what if Star Wars was made in 1930 with a billion dollar budget""",2h,2.4K,192,108,https://x.com/historyinmemes,https://x.com/historyinmemes
Instablog9ja,@instablog9ja,Tonto Dikeh r+sks J@il term following her arrest for th€ft and cyberb¥llying,6h,2.3K,339,148,https://x.com/instablog9ja,https://x.com/instablog9ja
YabaLeftOnline,@yabaleftonline,What a picture!,20h,2.6K,137,72,https://x.com/yabaleftonline,https://x.com/yabaleftonline
Historic Vids,@historyinmemes,When Ed Sheeran & Benny Blanco randomly wrote 'Love Yourself' for Justin Bieber on a tour bus,6h,2.3K,210,97,https://x.com/historyinmemes,https://x.com/historyinmemes
Historic Vids,@historyinmemes,"""AI, what if Star Wars was made in 1930 with a billion dollar budget""",2h,2.4K,196,108,https://x.com/historyinmemes,https://x.com/historyinmemes
Instablog9ja,@instablog9ja,Tonto Dikeh r+sks J@il term following her arrest for th€ft and cyberb¥llying,7h,2.3K,340,148,https://x.com/instablog9ja,https://x.com/instablog9ja
YabaLeftOnline,@yabaleftonline,VeryDarkMan buys Prophet Jeremiah Fufeyin’s miracle water and goes to test it on the deaf and blind.,20h,1.7K,296,270,https://x.com/yabaleftonline,https://x.com/yabaleftonline
Frank Edoho,@frankedoho,"Frankly speaking, I'm surprised too.",4h,1.8K,229,100,https://x.com/frankedoho,https://x.com/frankedoho
Naija,@Naija_PR,The transition,20h,1.3K,82,15,https://x.com/Naija_PR,https://x.com/Naija_PR
YabaLeftOnline,@yabaleftonline,VeryDarkMan buys Prophet Jeremiah Fufeyin’s miracle water and goes to test it on the deaf and blind.,20h,1.7K,296,270,https://x.com/yabaleftonline,https://x.com/yabaleftonline
Frank Edoho,@frankedoho,"Frankly speaking, I'm surprised too.",4h,1.8K,230,100,https://x.com/frankedoho,https://x.com/frankedoho
Naija,@Naija_PR,The transition,20h,1.3K,82,15,https://x.com/Naija_PR,https://x.com/Naija_PR
YabaLeftOnline,@yabaleftonline,VeryDarkMan buys Prophet Jeremiah Fufeyin’s miracle water and goes to test it on the deaf and blind.,20h,1.7K,296,270,https://x.com/yabaleftonline,https://x.com/yabaleftonline
Frank Edoho,@frankedoho,"Frankly speaking, I'm surprised too.",4h,1.8K,230,101,https://x.com/frankedoho,https://x.com/frankedoho
Naija,@Naija_PR,The transition,20h,1.3K,82,15,https://x.com/Naija_PR,https://x.com/Naija_PR